,index,Data,EstacaoCodigo,Vazao,NivelConsistencia
484,14878,1982-08-28,87317030,4.9207,2
485,14879,1982-08-29,87317030,4.4166,2
486,14880,1982-08-30,87317030,11.1144,2
487,14881,1982-08-31,87317030,26.1572,2
488,14821,1982-09-01,87317030,13.6037,2
489,14822,1982-09-02,87317030,9.9663,2
490,14823,1982-09-03,87317030,8.1951,2
491,14824,1982-09-04,87317030,6.9057,2
492,14825,1982-09-05,87317030,6.0128,2
493,14826,1982-09-06,87317030,6.0128,2
494,14827,1982-09-07,87317030,5.4527,2
495,14828,1982-09-08,87317030,4.9207,2
496,14829,1982-09-09,87317030,4.9207,2
497,14830,1982-09-10,87317030,4.4166,2
498,14831,1982-09-11,87317030,3.9404,2
499,14832,1982-09-12,87317030,3.9404,2
500,14833,1982-09-13,87317030,3.492,2
501,14834,1982-09-14,87317030,3.492,2
502,14835,1982-09-15,87317030,3.0714,2
503,14836,1982-09-16,87317030,3.0714,2
504,14837,1982-09-17,87317030,2.6784,2
505,14838,1982-09-18,87317030,9.5978,2
506,14839,1982-09-19,87317030,37.5898,2
507,14840,1982-09-20,87317030,23.7746,2
508,14841,1982-09-21,87317030,14.0436,2
509,14842,1982-09-22,87317030,9.9663,2
510,14843,1982-09-23,87317030,8.1951,2
511,14844,1982-09-24,87317030,7.2175,2
512,14845,1982-09-25,87317030,6.6011,2
513,14846,1982-09-26,87317030,6.0128,2
514,14847,1982-09-27,87317030,29.2997,2
515,14848,1982-09-28,87317030,131.2548,2
516,14849,1982-09-29,87317030,52.0168,2
517,14850,1982-09-30,87317030,33.3125,2
518,14790,1982-10-01,87317030,18.8395,2
519,14791,1982-10-02,87317030,14.0436,2
520,14792,1982-10-03,87317030,11.1144,2
521,14793,1982-10-04,87317030,8.8823,2
522,14794,1982-10-05,87317030,12.7453,2
523,14795,1982-10-06,87317030,8.5351,2
524,14796,1982-10-07,87317030,7.8621,2
525,14797,1982-10-08,87317030,7.5363,2
526,14798,1982-10-09,87317030,6.0128,2
527,14799,1982-10-10,87317030,5.4527,2
528,14800,1982-10-11,87317030,6.0128,2
529,14801,1982-10-12,87317030,4.9207,2
530,14802,1982-10-13,87317030,9.9663,2
531,14803,1982-10-14,87317030,6.6011,2
532,14804,1982-10-15,87317030,4.9207,2
533,14805,1982-10-16,87317030,4.4166,2
534,14806,1982-10-17,87317030,4.4166,2
535,14807,1982-10-18,87317030,12.7453,2
536,14808,1982-10-19,87317030,7.2175,2
537,14809,1982-10-20,87317030,5.7293,2
538,14810,1982-10-21,87317030,4.9207,2
539,14811,1982-10-22,87317030,65.878,2
540,14812,1982-10-23,87317030,103.9595,2
541,14813,1982-10-24,87317030,48.6034,2
542,14814,1982-10-25,87317030,47.7686,2
543,14815,1982-10-26,87317030,31.9456,2
544,14816,1982-10-27,87317030,22.0642,2
545,14817,1982-10-28,87317030,15.8754,2
546,14818,1982-10-29,87317030,12.3268,2
547,14819,1982-10-30,87317030,9.9663,2
548,14820,1982-10-31,87317030,7.8621,2
549,14760,1982-11-01,87317030,7.2175,2
550,14761,1982-11-02,87317030,6.6011,2
551,14762,1982-11-03,87317030,28.6566,2
552,14763,1982-11-04,87317030,25.5506,2
553,14764,1982-11-05,87317030,14.0436,2
554,14765,1982-11-06,87317030,26.1572,2
555,14766,1982-11-07,87317030,17.3249,2
556,14767,1982-11-08,87317030,13.1709,2
557,14768,1982-11-09,87317030,10.3419,2
558,14769,1982-11-10,87317030,15.4067,2
559,14770,1982-11-11,87317030,53.7681,2
560,14771,1982-11-12,87317030,34.007,2
561,14772,1982-11-13,87317030,22.0642,2
562,14773,1982-11-14,87317030,22.0642,2
563,14774,1982-11-15,87317030,42.9154,2
564,14775,1982-11-16,87317030,51.1523,2
565,14776,1982-11-17,87317030,34.007,2
566,14777,1982-11-18,87317030,21.5086,2
567,14778,1982-11-19,87317030,23.1972,2
568,14779,1982-11-20,87317030,31.9456,2
569,14780,1982-11-21,87317030,26.7711,2
570,14781,1982-11-22,87317030,18.3274,2
571,14782,1982-11-23,87317030,13.1709,2
572,14783,1982-11-24,87317030,10.3419,2
573,14784,1982-11-25,87317030,8.8823,2
574,14785,1982-11-26,87317030,7.5363,2
575,14786,1982-11-27,87317030,13.6037,2
576,14787,1982-11-28,87317030,7.8621,2
577,14788,1982-11-29,87317030,7.5363,2
578,14789,1982-11-30,87317030,6.3034,2
579,14729,1982-12-01,87317030,23.1972,2
580,14730,1982-12-02,87317030,178.5014,2
581,14731,1982-12-03,87317030,97.5137,2
582,14732,1982-12-04,87317030,42.9154,2
583,14733,1982-12-05,87317030,24.3593,2
584,14734,1982-12-06,87317030,18.8395,2
585,14735,1982-12-07,87317030,23.1972,2
586,14736,1982-12-08,87317030,13.6037,2
587,14737,1982-12-09,87317030,9.9663,2
588,14738,1982-12-10,87317030,8.1951,2
589,14739,1982-12-11,87317030,7.2175,2
590,14740,1982-12-12,87317030,7.2175,2
591,14741,1982-12-13,87317030,5.7293,2
592,14742,1982-12-14,87317030,4.9207,2
593,14743,1982-12-15,87317030,6.6011,2
594,14744,1982-12-16,87317030,5.4527,2
595,14745,1982-12-17,87317030,4.9207,2
596,14746,1982-12-18,87317030,4.9207,2
597,14747,1982-12-19,87317030,5.4527,2
598,14748,1982-12-20,87317030,4.6651,2
599,14749,1982-12-21,87317030,3.9404,2
600,14750,1982-12-22,87317030,3.492,2
601,14751,1982-12-23,87317030,6.0128,2
602,14752,1982-12-24,87317030,5.4527,2
603,14753,1982-12-25,87317030,4.175,2
604,14754,1982-12-26,87317030,3.492,2
605,14755,1982-12-27,87317030,3.0714,2
606,14756,1982-12-28,87317030,3.0714,2
607,14757,1982-12-29,87317030,2.6784,2
608,14758,1982-12-30,87317030,4.175,2
609,14759,1982-12-31,87317030,2.6784,2
610,14698,1983-01-01,87317030,48.6034,2
